Name of hospital or clinic,Hospital rate,Location_Lat,Location_Lon,State,Number of Doctors,Number of patients in 2020,Number of patients in 2021,Number of patients in 2022,Number of patients in 2023,Number of patients in 2024,Number of patients in 2025,Types of treatment it contains,total cost of the hospital in 2020 (million AED),total cost of the hospital in 2021 (million AED),total cost of the hospital in 2022 (million AED),total cost of the hospital in 2023 (million AED),total cost of the hospital in 2024 (million AED),total cost of the hospital in 2025 (million AED),total income of the hospital in 2020 (million AED),total income of the hospital in 2021 (million AED),total income of the hospital in 2022 (million AED),total income of the hospital in 2023 (million AED),total income of the hospital in 2024 (million AED),total income of the hospital in 2025 (million AED),total number of surgeries in 2020,total number of surgeries in 2021,total number of surgeries in 2022,total number of surgeries in 2023,total number of surgeries in 2024,total number of surgeries in 2025,number of customers make reviews for the hospital,number of reviews,positive reviews,negative reviews,most repeated keywords for the hospital in positive reviews,most repeated keywords for the hospital in negative reviews
Rahma Medical Center,Very Bad,25.32795,56.185895,Fujairah,439,19332,18867,20024,20721,20010,22983,"Orthopedics; Obstetrics and Gynecology (OB/GYN); Intensive Care Unit (ICU); Emergency Medicine; Anesthesiology; Ear, Nose, and Throat (ENT) / Otolaryngology; Gastroenterology (Digestive system); Cardiology; Internal Medicine; Psychiatry and Mental Health",80.5,81.5,89.2,85.07,88.3,84.86,73.69,84.98,107.8,79.26,94.82,104.15,737,690,822,923,787,695,678,11526,3238,8288,Helpful,Untrustworthy; Incompetent; Billing issues; Inattentive; Lack of privacy
Noor Clinic,Bad,25.402839,55.519417,Ajman,724,82562,81025,89161,87515,79242,71339,"Cardiology; Infectious Diseases; Emergency Medicine; Ear, Nose, and Throat (ENT) / Otolaryngology; General Surgery; Dermatology; Ophthalmology (Eye care); Internal Medicine; Obstetrics and Gynecology (OB/GYN); Oncology (Cancer treatment); Pulmonology (Respiratory care); Gastroenterology (Digestive system); Intensive Care Unit (ICU)",137.01,150.19,161.63,158.61,172.38,172.16,173.93,139.62,167.96,137.84,193.65,183.91,4903,5443,5673,6865,6740,7293,270,1350,833,517,Trustworthy,Billing issues; Overpriced; Disorganized; Mismanaged; No communication
General Hospital City,Acceptable,24.845312,55.493411,Dubai,182,50264,56565,58846,56435,52456,55180,Pulmonology (Respiratory care); Anesthesiology; Endocrinology (Hormonal disorders); Cardiology; Psychiatry and Mental Health; Orthopedics; Emergency Medicine,19.73,19.86,20.04,19.75,19.61,20.82,16.46,25.3,21.15,25.01,17.88,30.49,3702,4258,4897,5326,5507,6473,343,26411,6441,19970,Excellent; Advanced equipment,Disorganized; Crowded; Poor service; No empathy; Delayed treatment
Mustashfa Amal Khaleej,Acceptable,25.583458,55.870524,Ras Al Khaimah,480,1699,1866,2064,1928,1925,1860,Psychiatry and Mental Health; Infectious Diseases; Dental and Oral Surgery; Nephrology (Kidney care); Emergency Medicine; Intensive Care Unit (ICU); Oncology (Cancer treatment); Pediatrics,196.69,193.41,187.17,179.48,180.21,173.43,224.45,227.29,183.14,199.54,259.24,203.14,57,53,57,50,50,45,572,3432,2176,1256,Kind; Clean; Follow-up care; Knowledgeable; Courteous,Mismanaged; Not recommended
Family Medical City,Bad,25.03077,55.758424,Sharjah,625,50751,50305,49870,54890,55260,55820,"Pediatrics; Pulmonology (Respiratory care); Internal Medicine; Obstetrics and Gynecology (OB/GYN); Radiology; Dermatology; Infectious Diseases; Pathology and Laboratory Services; Ear, Nose, and Throat (ENT) / Otolaryngology; Oncology (Cancer treatment); Nephrology (Kidney care); Endocrinology (Hormonal disorders); General Surgery; Gastroenterology (Digestive system)",45.21,44,43.98,46.01,49.35,50.83,40.63,48.83,35.39,47.41,57.74,70.3,2701,2736,2518,3069,3555,3093,501,38577,15111,23466,Clean environment,Dirty toilets; Outdated equipment; Bad experience; Painful; Unprofessional
Al Saada Takhassusi,Very Bad,25.187304,55.38384,Sharjah,272,54121,51466,49527,53577,54568,58749,Cardiology; General Surgery; Ophthalmology (Eye care); Neurology; Pathology and Laboratory Services; Intensive Care Unit (ICU); Dental and Oral Surgery; Nephrology (Kidney care); Dermatology; Endocrinology (Hormonal disorders),32.75,33.5,36.02,38.81,40.28,40.78,34.04,44.31,30.16,55.94,46.85,39.99,2279,2154,1997,2480,2398,2172,452,12204,3646,8558,Efficient,Unprofessional; Ignored; Painful
Al Rahma Diagnostic Center,Acceptable,25.172475,56.348986,Fujairah,840,67950,64092,65155,72924,83698,75648,"Radiology; Ear, Nose, and Throat (ENT) / Otolaryngology; Ophthalmology (Eye care); Anesthesiology; Physiotherapy and Rehabilitation; Infectious Diseases; Endocrinology (Hormonal disorders); Neurology; Cardiology; Pediatrics; Psychiatry and Mental Health; Obstetrics and Gynecology (OB/GYN); Dental and Oral Surgery; General Surgery; Urology",114.16,117.84,116.32,121.38,125.98,133.13,114.42,104.23,148.19,181.59,119.38,183.63,1025,889,1002,1150,1142,1085,226,3164,891,2273,Great staff; Thorough; Good bedside manner; Human touch; Positive experience,Inconsiderate; Arrogant; Crowded
Hikma Khaleej Modern,Very Bad,25.377148,55.450023,Ajman,243,82633,80432,78349,71108,67577,62884,General Surgery; Psychiatry and Mental Health; Internal Medicine; Ophthalmology (Eye care); Dermatology; Pediatrics; Radiology; Dental and Oral Surgery; Nephrology (Kidney care); Gastroenterology (Digestive system),14.83,14.67,14.06,13.57,12.98,13.89,16.89,20.97,20.07,11.2,14.32,17.99,1558,1474,1298,1179,1346,1246,369,35424,19941,15483,Comforting,Painful; Insensitive; Bad experience; Dirty; Unsafe
Ilaj Specialist Hospital,Very Bad,24.327711,54.627895,Abu Dhabi,155,77615,83402,88423,80637,76204,87090,Orthopedics; Ophthalmology (Eye care); Nephrology (Kidney care); Physiotherapy and Rehabilitation; Psychiatry and Mental Health; Oncology (Cancer treatment); General Surgery; Obstetrics and Gynecology (OB/GYN),166.17,175.69,184.85,194.69,194.89,197.56,168.3,202.63,262.47,249.62,215.71,220.87,2854,2549,2791,3163,3562,3937,485,37345,7727,29618,Patient,No empathy; Indifferent; Poor hygiene; Ignored; Inattentive
Al Ein Ilaj Specialist Hospital,Good,25.369513,55.473859,Ajman,958,90504,98786,102826,100737,99728,101031,Ophthalmology (Eye care); Neurology; Oncology (Cancer treatment); Cardiology; Pediatrics; Infectious Diseases; Psychiatry and Mental Health; Obstetrics and Gynecology (OB/GYN); Emergency Medicine; Urology; Pathology and Laboratory Services,63.37,68.78,72.26,78.09,84.76,87.57,59.02,64.03,92.32,102.85,84.95,80.66,3584,3762,3958,4354,5407,6177,460,46000,15121,30879,High standards; Satisfied; Thorough; Comforting; Timely care,Outdated equipment; Unprofessional; Negligent
Ein Salam Mustaqbal,Good,25.54499,55.728164,Umm Al Quwain,60,54098,52542,54389,55340,58571,55810,Pathology and Laboratory Services; Intensive Care Unit (ICU); Pediatrics; Gastroenterology (Digestive system); General Surgery; Radiology; Psychiatry and Mental Health; Dental and Oral Surgery; Obstetrics and Gynecology (OB/GYN); Cardiology,77.29,74.77,76.18,77.52,74.59,78.49,99.36,102,111.4,69.34,108.13,117.48,4159,3567,3575,3484,4067,3983,493,37468,14738,22730,High standards; Satisfied; Clean rooms; Clean,Cold attitude
Al Markaz Rahma Specialist Hospital,Acceptable,25.192657,55.358285,Dubai,776,56051,51197,57716,59218,61698,60620,Obstetrics and Gynecology (OB/GYN); Intensive Care Unit (ICU); General Surgery; Neurology; Pathology and Laboratory Services,23.21,25.28,26.23,26.61,26.73,29.31,26.69,21.22,38.43,28.57,33.39,32.46,4385,3911,4299,3881,3505,4110,257,23901,11564,12337,Efficient; Good communication; Comforting; Prompt attention; Human touch,Unavailable doctors; Unsafe; Understaffed; Indifferent; Hidden charges
Al Dar Afia Dowaly,Very Good,23.981501,53.047877,Abu Dhabi,216,43086,47290,51149,46953,50522,57220,Intensive Care Unit (ICU); Pulmonology (Respiratory care); Endocrinology (Hormonal disorders); General Surgery; Orthopedics; Pediatrics; Obstetrics and Gynecology (OB/GYN); Infectious Diseases; Urology; Neurology; Radiology,57.08,59.1,59.12,63.91,64.45,67.34,54.94,69.27,75.89,83.2,90.79,75.64,1103,1201,1041,1067,1026,1233,902,53218,40404,12814,Patient; Quick response; Compassionate; Professional,Ignored
Mustashfa Hikma,Very Bad,25.382298,55.547719,Sharjah,734,65323,70985,80277,74127,79292,88357,Ophthalmology (Eye care); Infectious Diseases; Dermatology; Urology; Anesthesiology; Neurology; Nephrology (Kidney care); Pulmonology (Respiratory care); Endocrinology (Hormonal disorders); Dental and Oral Surgery; Cardiology; Radiology,125.25,133.02,139.41,145.92,155.74,165.98,132.23,181.7,197.7,200.56,158.36,201.05,804,884,820,898,1107,1041,775,75175,30087,45088,Organized; Friendly; Positive experience; Prompt attention; Follow-up care,Crowded; Long wait
Family Hospital Emirates,Very Good,25.170347,55.281507,Dubai,452,26347,24017,27027,26643,25334,24985,"Neurology; Internal Medicine; General Surgery; Orthopedics; Cardiology; Physiotherapy and Rehabilitation; Intensive Care Unit (ICU); Emergency Medicine; Gastroenterology (Digestive system); Ear, Nose, and Throat (ENT) / Otolaryngology; Pathology and Laboratory Services; Obstetrics and Gynecology (OB/GYN); Endocrinology (Hormonal disorders)",8.19,8.14,8.3,8.35,8.61,8.63,10.13,10.95,7.73,8.17,11.12,8.15,578,715,759,693,720,863,570,570,352,218,Friendly; Efficient; Great staff; Attentive; Well-equipped,Dirty
Al Markaz Shifa,Bad,25.461121,56.124561,Fujairah,104,21528,19391,20451,19946,20122,22640,Gastroenterology (Digestive system); Oncology (Cancer treatment); Pediatrics; Internal Medicine; Cardiology; Radiology; Ophthalmology (Eye care); Physiotherapy and Rehabilitation,99.95,108.99,106.61,106.73,108.05,116.56,84.15,119.2,156.52,121.68,150.34,105.62,214,213,239,255,235,277,185,5365,4013,1352,Attentive,Unorganized; Poor hygiene
Al Dar Saada Khaleej,Very Good,24.972095,55.194401,Dubai,93,23342,21315,19827,20414,22883,25297,"Pulmonology (Respiratory care); Ear, Nose, and Throat (ENT) / Otolaryngology; Pediatrics; Nephrology (Kidney care); Pathology and Laboratory Services; Radiology; Anesthesiology; Infectious Diseases; Neurology; Urology; Obstetrics and Gynecology (OB/GYN); Physiotherapy and Rehabilitation; Internal Medicine",104.13,102.92,101.77,99.83,104.7,114.57,99.93,92.37,112,120.22,85.14,153.87,253,285,269,275,254,257,60,4680,2029,2651,Excellent; Well-equipped; Trustworthy; Accurate diagnosis,Dirty toilets
Amal Takhassusi Modern,Acceptable,25.15659,56.203867,Fujairah,921,42013,46129,49595,56684,64294,60419,Psychiatry and Mental Health; Intensive Care Unit (ICU); Ophthalmology (Eye care); Pediatrics; Anesthesiology; Gastroenterology (Digestive system); Emergency Medicine; Orthopedics; General Surgery; Infectious Diseases; Cardiology; Pulmonology (Respiratory care),107.78,113.53,118.23,114.14,119.38,116.29,161.48,119.59,109.82,128.08,178.64,96.36,3164,2905,2639,3007,2850,3113,882,24696,5904,18792,Accurate diagnosis; Comforting; No delays; Follow-up care; High standards,Not responsive; Dirty; Bad experience; Untrustworthy
Al Noor Salam Medical Center,Very Bad,25.171728,55.315139,Dubai,670,29628,30277,33441,35343,40319,44325,"Ear, Nose, and Throat (ENT) / Otolaryngology; Pediatrics; Nephrology (Kidney care); Psychiatry and Mental Health; Ophthalmology (Eye care); Endocrinology (Hormonal disorders)",50.82,55.57,59.65,63.32,61.57,64.19,60.21,77.87,68.44,56.32,61.97,88.34,4062,4281,5281,4551,5469,4759,308,2772,807,1965,Timely care,Chaotic; Stressed; No explanation; Overpriced; Disorganized
Dar Rahma Watani,Good,25.694871,55.85254,Ras Al Khaimah,821,27118,28959,31003,33481,30436,31331,"Psychiatry and Mental Health; Internal Medicine; General Surgery; Dermatology; Urology; Emergency Medicine; Anesthesiology; Pulmonology (Respiratory care); Obstetrics and Gynecology (OB/GYN); Cardiology; Ear, Nose, and Throat (ENT) / Otolaryngology; Pediatrics; Pathology and Laboratory Services; Gastroenterology (Digestive system); Nephrology (Kidney care)",94.77,100.01,107.73,116.52,115.45,122.69,80.02,81.78,118.59,105.17,126.95,159.17,1626,1936,2016,1725,1665,1825,82,8118,6118,2000,Caring; Friendly; Clean; Accurate diagnosis; Respect,Lack of privacy; Bad experience
General Care AbuDhabi,Good,25.47533,55.707723,Umm Al Quwain,422,14034,12832,14151,16016,15509,15047,Infectious Diseases; Internal Medicine; Cardiology; Dental and Oral Surgery; Dermatology; Gastroenterology (Digestive system); Pediatrics; Pulmonology (Respiratory care); Oncology (Cancer treatment),28.57,28.92,29.71,32.31,34.08,32.91,38.34,30.92,32.98,26.87,35.36,39.65,734,794,954,855,799,733,702,21060,9424,11636,Reassuring; Satisfied; Good bedside manner,Outdated equipment
Dental Hospital National,Very Good,25.379745,56.344644,Fujairah,665,73312,66602,64218,71696,65515,66927,"Ophthalmology (Eye care); Orthopedics; Emergency Medicine; Nephrology (Kidney care); Ear, Nose, and Throat (ENT) / Otolaryngology; Intensive Care Unit (ICU); Obstetrics and Gynecology (OB/GYN); Dental and Oral Surgery; Dermatology; Anesthesiology; Infectious Diseases",198.46,207.69,222.03,230.47,247.66,247.28,237.83,261.62,212.73,294.67,237.2,364.99,98,99,90,106,113,100,396,28908,14002,14906,No delays; Positive experience; Patient; Safe,Untrustworthy
Al Dar Shifa Polyclinic,Very Bad,25.282225,55.784657,Sharjah,771,81435,91851,86926,95292,108032,121350,Intensive Care Unit (ICU); Radiology; Orthopedics; Nephrology (Kidney care); General Surgery; Physiotherapy and Rehabilitation; Pulmonology (Respiratory care); Infectious Diseases; Psychiatry and Mental Health,115.14,117.81,121.26,123.08,126.59,133.27,169.29,174.18,111.3,127.8,162.74,159.83,4954,5204,5563,5194,6210,7060,530,50880,38130,12750,Reassuring,Poor service; Mismanaged; Understaffed; Noisy
Al Dar Rahma Jadeed,Very Good,25.420219,56.18874,Fujairah,364,68619,66906,76843,74415,72907,78344,"Ear, Nose, and Throat (ENT) / Otolaryngology; Orthopedics; Anesthesiology; Dental and Oral Surgery; Pathology and Laboratory Services; Infectious Diseases; Endocrinology (Hormonal disorders)",69.25,68.26,73.44,74.01,72.91,70.97,80.9,87.38,82.62,93.14,107.29,68.6,4522,4240,5273,6426,5913,6621,400,13600,8959,4641,Respectful; Seamless process,Disrespectful
Al Hikma Medical Center,Very Bad,24.506826,54.946569,Abu Dhabi,314,91251,101666,109711,123730,135877,134708,"Pediatrics; Dermatology; Neurology; Ear, Nose, and Throat (ENT) / Otolaryngology; Pulmonology (Respiratory care); Pathology and Laboratory Services; Physiotherapy and Rehabilitation; Internal Medicine; Psychiatry and Mental Health; Nephrology (Kidney care); Ophthalmology (Eye care); Emergency Medicine; Radiology; Obstetrics and Gynecology (OB/GYN)",170.97,176.87,179.42,193.42,185.93,202.92,154.54,187.73,151.98,227.19,249.16,286.05,3764,3282,3507,3051,3409,3273,688,46096,21372,24724,Good communication; Respect; Efficient,Unprofessional; Painful
Al Saada Medical Center,Very Good,23.487971,53.797982,Abu Dhabi,198,40237,45869,46495,51285,48217,44031,Cardiology; Radiology; Infectious Diseases; Pulmonology (Respiratory care); Intensive Care Unit (ICU); Psychiatry and Mental Health; Neurology,7.19,7.23,7.72,8.19,8.74,8.63,9.59,5.87,6.39,8.24,7.93,10.23,2357,2856,3343,2927,2503,2544,546,49686,15168,34518,Accurate diagnosis; Skilled,Long wait
Noor Clinic,Bad,24.931005,55.268311,Dubai,722,57870,58158,54801,57411,56619,56373,"Endocrinology (Hormonal disorders); Dental and Oral Surgery; Pathology and Laboratory Services; Ear, Nose, and Throat (ENT) / Otolaryngology; Internal Medicine; Anesthesiology; Ophthalmology (Eye care); Cardiology; Obstetrics and Gynecology (OB/GYN); Physiotherapy and Rehabilitation; Intensive Care Unit (ICU)",61.96,59.07,59.95,60.82,58.41,56.8,57.27,51.96,71.28,73.07,52.17,76.06,197,246,286,283,260,284,865,2595,1459,1136,High standards; Efficient; Respectful; Advanced equipment,Slow; Incompetent; Disorganized; Negligent; Dirty
Al Shifa,Good,25.177625,55.405727,Sharjah,523,19879,22814,23931,23864,26571,23918,"Urology; Obstetrics and Gynecology (OB/GYN); Ear, Nose, and Throat (ENT) / Otolaryngology; Ophthalmology (Eye care); Nephrology (Kidney care); Internal Medicine; Oncology (Cancer treatment); Infectious Diseases; Orthopedics; Dermatology; Radiology",169.53,163.22,178.78,181.21,173.98,167.6,144.89,196.51,216.55,147.92,204.22,149.54,697,681,810,766,878,995,979,86152,39297,46855,Accurate diagnosis; Friendly; Personalized care,Painful
Ein Afia Watani,Very Bad,25.420807,55.707351,Sharjah,832,81174,73143,75913,77454,80928,81930,Anesthesiology; Orthopedics; Pulmonology (Respiratory care); Cardiology; Pediatrics; Oncology (Cancer treatment); Internal Medicine; General Surgery; Obstetrics and Gynecology (OB/GYN); Psychiatry and Mental Health; Radiology,58.99,59.87,65.57,70.11,68.41,66.96,61.61,63.74,67.91,70.37,99.4,92.1,2157,2663,2576,2437,2356,2131,501,24549,13719,10830,Satisfied,Outdated equipment; Slow
Wahat Amal,Very Good,25.380656,55.884305,Sharjah,873,16860,17668,17142,18740,18162,17949,"Psychiatry and Mental Health; Endocrinology (Hormonal disorders); Pediatrics; Obstetrics and Gynecology (OB/GYN); Dental and Oral Surgery; Orthopedics; Dermatology; Ear, Nose, and Throat (ENT) / Otolaryngology; Pulmonology (Respiratory care); Nephrology (Kidney care); Physiotherapy and Rehabilitation; Gastroenterology (Digestive system); Urology; General Surgery",13.61,14.5,14.57,13.9,13.42,14.42,11.8,19.43,19.81,11.49,12.42,17.48,1589,1709,2069,2497,2556,2184,471,16956,4488,12468,Trustworthy; Supportive; Recommended,Hidden charges
Amal Diagnostic Center,Very Good,25.293234,55.326851,Dubai,732,22140,24194,27819,25388,24529,24718,Oncology (Cancer treatment); Anesthesiology; General Surgery; Pulmonology (Respiratory care); Endocrinology (Hormonal disorders),86.69,92.17,96.66,91.91,92.81,90.9,79.97,74.01,143.84,75.84,129.96,109.61,640,606,608,532,633,616,534,1068,353,715,Prompt attention; Satisfied; Human touch,Unavailable doctors
Hayat Mustaqbal International,Acceptable,25.590156,55.673454,Umm Al Quwain,665,66543,71970,68492,65349,65358,69218,Dental and Oral Surgery; General Surgery; Urology; Gastroenterology (Digestive system); Physiotherapy and Rehabilitation; Ophthalmology (Eye care); Pathology and Laboratory Services,68.36,67.25,64.83,71.02,69.43,73.15,83.81,80.24,86.84,76.47,79.75,66.45,313,275,279,287,297,310,235,1410,437,973,Excellent; Accurate diagnosis,Dirty; Inconsiderate; Arrogant; Understaffed; Bad experience
Rahma Dowaly International,Very Good,25.38576,55.477486,Ajman,506,73923,69812,68641,69592,72923,77115,Pediatrics; Nephrology (Kidney care); Infectious Diseases; Gastroenterology (Digestive system); Oncology (Cancer treatment); Intensive Care Unit (ICU); Pathology and Laboratory Services; Orthopedics; Obstetrics and Gynecology (OB/GYN); Pulmonology (Respiratory care),56.22,55.71,56.58,57.93,59.26,59.87,64.32,64.89,51.69,64.67,82.46,60.17,199,189,218,210,222,197,580,13340,5444,7896,Respect; Caring,Insensitive
Shifa Takhassusi Lil Tibb,Acceptable,25.869566,56.01502,Ras Al Khaimah,775,66851,63806,63536,61422,56479,63001,Neurology; Intensive Care Unit (ICU); Orthopedics; Emergency Medicine; Dental and Oral Surgery; Cardiology; Radiology; Internal Medicine; General Surgery; Pulmonology (Respiratory care),49.73,47.89,49.92,48.34,50.08,53.61,74.44,52.33,50.13,61.21,50.11,65.98,2759,2762,2709,3164,2933,2658,385,2695,1700,995,Professional; Excellent; Painless; Clean,Crowded; Disrespectful; Poor service; Dirty toilets; Lack of care
Al Hikma Specialist Hospital,Very Bad,24.848002,55.397958,Dubai,367,1693,1640,1598,1743,1737,1989,"Radiology; Psychiatry and Mental Health; Pulmonology (Respiratory care); Physiotherapy and Rehabilitation; Obstetrics and Gynecology (OB/GYN); Endocrinology (Hormonal disorders); Dental and Oral Surgery; Ophthalmology (Eye care); Dermatology; Cardiology; Nephrology (Kidney care); Gastroenterology (Digestive system); Ear, Nose, and Throat (ENT) / Otolaryngology",169.86,178.13,189.57,200.66,210.86,216.27,222.73,202.46,261.55,266.43,187.22,284.92,95,84,95,84,95,110,17,34,19,15,No delays,Long wait; Painful
Al Hayat Diagnostic Center,Very Bad,24.943607,55.387283,Dubai,789,82369,74680,84423,91350,90304,88194,Urology; Pediatrics; Internal Medicine; Psychiatry and Mental Health; Anesthesiology,118.92,123.2,120.97,120.58,130.34,133.11,176.97,173.35,117.87,138.29,176.5,169.93,1521,1334,1322,1366,1591,1720,28,1456,778,678,High standards,Billing issues; Dirty; Understaffed; Delayed treatment; Chaotic
